직업구분,분위구분,평균처분가능소득
4,3,
0,3,2059
3,6,2352
0,7,2817
3,4,1989
2,8,
1,8,3128
0,2,1801
4,9,
0,1,
4,3,2246
0,10,6065
2,10,6418
4,2,1843
0,4,
0,0,
2,1,
1,9,3852
4,0,
4,9,
4,5,
3,0,1451
1,7,
0,9,
0,1,1375
4,8,3939
4,4,2450
3,7,3223
3,3,1880
2,10,
1,10,8572
1,6,2728
1,2,1311
0,5,2404
0,1,1518
4,8,3550
4,0,2417
3,7,2982
3,3,1814
2,6,
2,0,4624
1,7,2801
0,10,6304
0,6,2689
0,2,1838
4,5,2398
4,1,
3,8,3354
2,10,6401
2,6,
2,0,5309
1,3,1170
0,9,4315
4,8,3291
4,4,2296
4,0,2816
3,3,1676
2,10,5381
2,6,
1,9,3463
1,5,1843
1,1,
0,4,2225
0,0,2943
4,7,2901
3,10,5308
3,6,2257
3,2,1531
2,5,2280
2,1,
1,8,2230
1,0,2263
0,7,2664
0,3,1969
4,6,2830
4,2,1835
3,9,4952
3,1,1193
2,8,3519
2,4,2206
1,7,
1,3,1491
0,10,6612
0,2,1791
4,8,
4,4,2547
1,3,
3,4,
3,0,3063
0,7,
4,10,6100
4,6,2716
4,2,1844
3,5,2181
3,1,1252
2,8,3391
2,0,4145
1,7,2524
1,3,1329
0,6,2578
0,2,1780
2,1,1175
1,4,2073
2,9,4309
1,7,2664
3,1,1434
0,0,2610
0,1,1551
0,3,1994
0,4,2264
0,5,2356
0,7,2772
0,8,3171
0,9,4325
0,10,5856
1,0,2769
1,1,818
1,2,1199
1,4,1747
1,5,2031
1,6,2400
1,8,2573
1,9,3869
1,10,6093
2,1,1143
2,2,1819
2,3,1715
2,4,2001
2,5,2276
2,6,2381
2,7,2616
2,9,4153
2,10,5744
3,0,2856
3,2,1513
3,3,1736
3,4,2010
3,6,2371
3,7,2696
3,8,3209
3,9,4154
3,10,5626
4,0,2445
4,1,1613
4,3,2073
4,4,2331
4,5,2432
4,7,2961
4,8,3418
4,9,4699
0,0,1855
0,1,1737
0,2,1948
0,3,2253
0,4,2541
0,5,
0,6,
0,8,
0,9,
0,10,
3,1,
3,2,
3,3,
3,6,
3,9,
3,10,
4,0,1841
4,1,1738
4,2,1949
4,3,2252
4,5,
4,6,
4,7,
4,9,
0,0,2202
0,1,1598
0,3,2033
0,4,2289
0,5,2520
0,6,2768
0,7,3165
0,8,3753
0,9,4999
1,0,2510
1,1,
1,2,1564
1,4,2174
1,5,2140
1,6,
1,8,
1,9,4682
1,10,
2,0,2976
2,1,1144
2,2,
2,3,2030
2,5,2163
2,6,2743
2,7,2663
2,9,4509
2,10,5552
3,0,2389
3,2,1585
3,3,1890
3,4,2042
3,5,2384
3,6,2710
3,7,3031
3,8,3594
3,10,7651
4,0,2117
4,1,1670
4,3,2108
4,4,2424
4,5,2665
4,7,3339
4,8,3924
4,9,5138
4,10,6101
0,0,2589
0,1,1327
0,2,1686
0,4,2052
0,5,2236
0,6,2230
0,8,3091
0,9,4229
0,10,5519
1,1,959
1,2,831
1,3,1495
1,4,1605
1,5,1899
1,6,1983
1,7,2052
1,9,4163
1,10,5741
2,0,3629
2,2,
2,3,
2,4,2110
2,6,2135
2,7,2521
2,8,3424
2,9,3860
2,10,5221
3,0,2532
3,1,1281
3,3,1676
3,4,1868
3,5,2115
3,7,2556
3,8,2983
3,9,3973
4,0,2576
4,1,1582
4,2,1829
4,3,2059
4,4,2179
4,5,2338
4,6,2276
4,8,3345
4,9,4695
4,10,5859
0,1,1167
0,2,1158
0,3,1770
0,5,2264
0,6,2508
0,7,2596
0,8,3081
0,9,4136
0,10,5519
1,0,2821
1,2,632
1,3,1087
1,4,1567
1,6,2277
1,7,2223
1,8,2526
1,10,6127
2,0,4355
2,1,
2,2,
2,3,
2,4,
2,5,
2,7,2264
2,8,3250
2,9,3985
3,0,3045
3,1,1335
3,2,1136
3,4,1968
3,5,1929
3,6,2238
3,7,2566
3,8,3119
3,9,3949
3,10,5246
4,1,
4,2,1272
4,3,1909
4,5,2370
4,6,2666
4,7,2807
4,9,4594
4,10,5719
0,0,3030
0,1,
0,2,1395
0,3,1902
0,4,2293
0,5,2365
0,6,2654
